iter	Passed	Remaining
827	206740	42946
828	207013	42701
829	207284	42455
830	207547	42208
831	207806	41960
832	208053	41710
833	208349	41470
834	208597	41219
835	208849	40970
836	209115	40723
837	209342	40469
838	209601	40221
839	209862	39973
840	210106	39722
841	210372	39476
842	210655	39232
843	210868	38975
844	211128	38727
845	211377	38477
846	211664	38234
847	211912	37984
848	212149	37732
849	212390	37480
850	212630	37229
851	212856	36975
852	213107	36725
853	213366	36477
854	213614	36227
855	213881	35980
856	214139	35731
857	214370	35478
858	214605	35226
859	214867	34978
860	215119	34728
861	215362	34477
862	215622	34229
863	215868	33979
864	216133	33731
865	216408	33485
866	216671	33237
867	216967	32995
868	217228	32746
869	217465	32494
870	217706	32243
871	218006	32000
872	218301	31757
873	218521	31503
874	218774	31253
875	219018	31002
876	219265	30752
877	219541	30505
878	219784	30254
879	220012	30001
880	220272	29753
881	220490	29498
882	220774	29253
883	221028	29003
884	221274	28753
885	221537	28504
886	221769	28252
887	222027	28003
888	222279	27753
889	222515	27501
890	222806	27256
891	223091	27011
892	223334	26760
893	223617	26513
894	223874	26264
895	224107	26012
896	224391	25766
897	224627	25514
898	224889	25265
899	225153	25017
900	225400	24766
901	225652	24516
902	225871	24263
903	226134	24014
904	226342	23759
905	226588	23509
906	226867	23262
907	227146	23014
908	227406	22765
909	227624	22512
910	227889	22263
911	228139	22013
912	228393	21763
913	228600	21509
914	228850	21259
915	229085	21007
916	229352	20759
917	229602	20509
918	229833	20257
919	230076	20006
920	230381	19761
921	230634	19511
922	230893	19261
923	231170	19014
924	231419	18763
925	231666	18513
926	231966	18267
927	232193	18015
928	232449	17765
929	232732	17517
930	232984	17267
931	233269	17019
932	233510	16768
933	233750	16517
934	234011	16268
935	234266	16018
936	234497	15766
937	234737	15515
938	235023	15267
939	235284	15018
940	235552	14768
941	235788	14517
942	236030	14266
943	236293	14017
944	236541	13766
945	236791	13516
946	237052	13266
947	237319	13017
948	237567	12767
949	237799	12515
950	238067	12266
951	238345	12017
952	238606	11767
953	238841	11516
954	239039	11263
955	239276	11012
956	239526	10762
957	239800	10513
958	240055	10263
959	240315	10013
960	240593	9763
961	240871	9514
962	241146	9265
963	241386	9014
964	241673	8765
965	241914	8514
966	242162	8264
967	242405	8013
968	242662	7763
969	242943	7513
970	243217	7263
971	243442	7012
972	243724	6763
973	243983	6512
974	244204	6261
975	244478	6011
976	244747	5761
977	245007	5511
978	245208	5259
979	245477	5009
980	245710	4758
981	245947	4508
982	246224	4258
983	246474	4007
984	246720	3757
985	246985	3506
986	247261	3256
987	247496	3006
988	247754	2755
989	248043	2505
990	248288	2254
991	248551	2004
992	248806	1753
993	249026	1503
994	249317	1252
995	249571	1002
996	249820	751
997	250058	501
998	250338	250
999	250582	0
